country_or_dependency,population_2020,yearly_change,net_change,density_p/km²,land_area_km²,migrants_net,fert_rate,med_age,urban_pop_%,world_share,total_population,percentage,percentage_formatted,urban_pop,rural_pop
CHINA,1440297825,0.39 %,5540090,153,9388211,-348399.0,1.7,38,61 %,18.47 %,7808449406,18.45,18.45%,"878,581,673.25","561,716,151.75"
INDIA,1382345085,0.99 %,13586631,464,2973190,-532687.0,2.2,28,35 %,17.70 %,7808449406,17.7,17.7%,"483,820,779.75","898,524,305.25"
UNITED STATES,331341050,0.59 %,1937734,36,9147420,954806.0,1.8,38,83 %,4.25 %,7808449406,4.24,4.24%,"275,013,071.50","56,327,978.50"
INDONESIA,274021604,1.07 %,2898047,151,1811570,-98955.0,2.3,30,56 %,3.51 %,7808449406,3.51,3.51%,"153,452,098.24","120,569,505.76"
PAKISTAN,221612785,2.00 %,4327022,287,770880,-233379.0,3.6,23,35 %,2.83 %,7808449406,2.84,2.84%,"77,564,474.75","144,048,310.25"
BRAZIL,212821986,0.72 %,1509890,25,8358140,21200.0,1.7,33,88 %,2.73 %,7808449406,2.73,2.73%,"187,283,347.68","25,538,638.32"
NIGERIA,206984347,2.58 %,5175990,226,910770,-60000.0,5.4,18,52 %,2.64 %,7808449406,2.65,2.65%,"107,631,860.44","99,352,486.56"
BANGLADESH,164972348,1.01 %,1643222,1265,130170,-369501.0,2.1,28,39 %,2.11 %,7808449406,2.11,2.11%,"64,339,215.72","100,633,132.28"
RUSSIA,145945524,0.04 %,62206,9,16376870,182456.0,1.8,40,74 %,1.87 %,7808449406,1.87,1.87%,"107,999,687.76","37,945,836.24"
MEXICO,129166028,1.06 %,1357224,66,1943950,-60000.0,2.1,29,84 %,1.65 %,7808449406,1.65,1.65%,"108,499,463.52","20,666,564.48"
JAPAN,126407422,-0.30 %,-383840,347,364555,71560.0,1.4,48,92 %,1.62 %,7808449406,1.62,1.62%,"116,294,828.24","10,112,593.76"
ETHIOPIA,115434444,2.57 %,2884858,115,1000000,30000.0,4.3,19,21 %,1.47 %,7808449406,1.48,1.48%,"24,241,233.24","91,193,210.76"
PHILIPPINES,109830324,1.35 %,1464463,368,298170,-67152.0,2.6,26,47 %,1.41 %,7808449406,1.41,1.41%,"51,620,252.28","58,210,071.72"
